2019-04-15 09:32:10.703 INFO  Job:36 - The smallbus parked at parking space SmallBus_0 has left at 9 hour 32 minute. Total time parked is 0 hours 1 minutes, for a total parking fee of 40. Available parking spaces for smallbus is 4
2019-04-15 09:32:15.702 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 4
2019-04-15 09:32:30.701 INFO  Job:39 - A car has entered at 9 hours 32 minute and parked in parking space Car_0. Remaining parking spaces for car is 19
2019-04-15 09:32:30.702 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 19, for small buses: 4
2019-04-15 09:32:40.701 INFO  Job:36 - The car parked at parking space Car_0 has left at 9 hour 32 minute. Total time parked is 0 hours 10 minutes, for a total parking fee of 30. Available parking spaces for car is 20
2019-04-15 09:32:45.701 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 4
2019-04-15 09:32:50.701 INFO  Job:36 - The smallbus parked at parking space SmallBus_1 has left at 9 hour 32 minute. Total time parked is 1 hours 60 minutes, for a total parking fee of 40. Available parking spaces for smallbus is 5
2019-04-15 09:32:50.703 INFO  Job:39 - A smallbus has entered at 9 hours 32 minute and parked in parking space SmallBus_0. Remaining parking spaces for smallbus is 4
2019-04-15 09:32:50.703 INFO  Job:39 - A motorcycle has entered at 9 hours 32 minute and parked in parking space Motorcycle_0. Remaining parking spaces for motorcycle is 14
2019-04-15 09:33:00.700 INFO  Job:36 - The smallbus parked at parking space SmallBus_0 has left at 9 hour 33 minute. Total time parked is 0 hours 10 minutes, for a total parking fee of 40. Available parking spaces for smallbus is 5
2019-04-15 09:33:00.701 INFO  CarPark:104 - Available parking slots for motorcycles: 14, for cars: 20, for small buses: 5
2019-04-15 09:33:10.702 INFO  Job:36 - The motorcycle parked at parking space Motorcycle_0 has left at 9 hour 33 minute. Total time parked is 0 hours 20 minutes, for a total parking fee of 10. Available parking spaces for motorcycle is 15
2019-04-15 09:33:15.702 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 5
2019-04-15 09:33:30.701 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 5
2019-04-15 09:33:45.701 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 5
2019-04-15 09:33:50.702 INFO  Job:39 - A smallbus has entered at 9 hours 33 minute and parked in parking space SmallBus_0. Remaining parking spaces for smallbus is 4
2019-04-15 09:34:00.700 INFO  Job:36 - The smallbus parked at parking space SmallBus_0 has left at 9 hour 34 minute. Total time parked is 0 hours 10 minutes, for a total parking fee of 40. Available parking spaces for smallbus is 5
2019-04-15 09:34:00.701 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 5
2019-04-15 09:34:10.703 INFO  Job:39 - A motorcycle has entered at 9 hours 34 minute and parked in parking space Motorcycle_0. Remaining parking spaces for motorcycle is 14
2019-04-15 09:34:15.702 INFO  CarPark:104 - Available parking slots for motorcycles: 14, for cars: 20, for small buses: 5
2019-04-15 09:34:20.699 INFO  Job:36 - The motorcycle parked at parking space Motorcycle_0 has left at 9 hour 34 minute. Total time parked is 0 hours 10 minutes, for a total parking fee of 10. Available parking spaces for motorcycle is 15
2019-04-15 09:34:30.703 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 5
2019-04-15 09:34:45.701 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 5
2019-04-15 09:35:00.701 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 5
2019-04-15 09:35:10.701 INFO  Job:39 - A smallbus has entered at 9 hours 35 minute and parked in parking space SmallBus_0. Remaining parking spaces for smallbus is 4
2019-04-15 09:35:10.702 INFO  Job:39 - A smallbus has entered at 9 hours 35 minute and parked in parking space SmallBus_1. Remaining parking spaces for smallbus is 3
2019-04-15 09:35:15.702 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 3
2019-04-15 09:35:30.701 INFO  Job:36 - The smallbus parked at parking space SmallBus_1 has left at 9 hour 35 minute. Total time parked is 0 hours 20 minutes, for a total parking fee of 40. Available parking spaces for smallbus is 4
2019-04-15 09:35:30.702 INFO  Job:39 - A car has entered at 9 hours 35 minute and parked in parking space Car_0. Remaining parking spaces for car is 19
2019-04-15 09:35:30.703 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 19, for small buses: 4
2019-04-15 09:35:40.699 INFO  Job:36 - The smallbus parked at parking space SmallBus_0 has left at 9 hour 35 minute. Total time parked is 0 hours 30 minutes, for a total parking fee of 40. Available parking spaces for smallbus is 5
2019-04-15 09:35:45.702 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 19, for small buses: 5
2019-04-15 09:36:00.701 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 19, for small buses: 5
2019-04-15 09:36:00.702 INFO  Job:36 - The car parked at parking space Car_0 has left at 9 hour 36 minute. Total time parked is 0 hours 30 minutes, for a total parking fee of 30. Available parking spaces for car is 20
2019-04-15 09:36:10.701 INFO  Job:39 - A motorcycle has entered at 9 hours 36 minute and parked in parking space Motorcycle_0. Remaining parking spaces for motorcycle is 14
2019-04-15 09:36:15.703 INFO  CarPark:104 - Available parking slots for motorcycles: 14, for cars: 20, for small buses: 5
2019-04-15 09:36:20.700 INFO  Job:36 - The motorcycle parked at parking space Motorcycle_0 has left at 9 hour 36 minute. Total time parked is 0 hours 10 minutes, for a total parking fee of 10. Available parking spaces for motorcycle is 15
2019-04-15 09:36:30.701 INFO  Job:39 - A motorcycle has entered at 9 hours 36 minute and parked in parking space Motorcycle_0. Remaining parking spaces for motorcycle is 14
2019-04-15 09:36:30.702 INFO  Job:39 - A smallbus has entered at 9 hours 36 minute and parked in parking space SmallBus_0. Remaining parking spaces for smallbus is 4
2019-04-15 09:36:30.702 INFO  CarPark:104 - Available parking slots for motorcycles: 14, for cars: 20, for small buses: 4
2019-04-15 09:36:45.701 INFO  CarPark:104 - Available parking slots for motorcycles: 14, for cars: 20, for small buses: 4
2019-04-15 09:36:50.701 INFO  Job:36 - The motorcycle parked at parking space Motorcycle_0 has left at 9 hour 36 minute. Total time parked is 0 hours 20 minutes, for a total parking fee of 10. Available parking spaces for motorcycle is 15
2019-04-15 09:36:50.702 INFO  Job:39 - A smallbus has entered at 9 hours 36 minute and parked in parking space SmallBus_1. Remaining parking spaces for smallbus is 3
2019-04-15 09:36:50.703 INFO  Job:39 - A car has entered at 9 hours 36 minute and parked in parking space Car_0. Remaining parking spaces for car is 19
2019-04-15 09:37:00.700 INFO  Job:36 - The car parked at parking space Car_0 has left at 9 hour 37 minute. Total time parked is 0 hours 10 minutes, for a total parking fee of 30. Available parking spaces for car is 20
2019-04-15 09:37:00.701 INFO  Job:36 - The smallbus parked at parking space SmallBus_0 has left at 9 hour 37 minute. Total time parked is 0 hours 30 minutes, for a total parking fee of 40. Available parking spaces for smallbus is 4
2019-04-15 09:37:00.705 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 4
2019-04-15 09:37:10.700 INFO  Job:36 - The smallbus parked at parking space SmallBus_1 has left at 9 hour 37 minute. Total time parked is 0 hours 20 minutes, for a total parking fee of 40. Available parking spaces for smallbus is 5
2019-04-15 09:37:10.701 INFO  Job:39 - A car has entered at 9 hours 37 minute and parked in parking space Car_0. Remaining parking spaces for car is 19
2019-04-15 09:37:15.701 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 19, for small buses: 5
2019-04-15 09:37:20.701 INFO  Job:36 - The car parked at parking space Car_0 has left at 9 hour 37 minute. Total time parked is 0 hours 10 minutes, for a total parking fee of 30. Available parking spaces for car is 20
2019-04-15 09:37:30.701 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 5
2019-04-15 09:37:30.702 INFO  Job:39 - A smallbus has entered at 9 hours 37 minute and parked in parking space SmallBus_0. Remaining parking spaces for smallbus is 4
2019-04-15 09:37:30.703 INFO  Job:39 - A car has entered at 9 hours 37 minute and parked in parking space Car_0. Remaining parking spaces for car is 19
